id,round,winner_goes_to_game,team1,team2,winner_team
1,1,33,1,16,1
2,1,33,8,9,
3,1,34,5,12,
4,1,34,4,13,
5,1,35,6,11,
6,1,35,3,14,
7,1,36,7,10,
8,1,36,2,15,
9,1,37,17,32,
10,1,37,24,25,
11,1,38,21,28,
12,1,38,20,29,
13,1,39,22,27,
14,1,39,19,30,
15,1,40,23,26,
16,1,40,18,31,
17,1,41,33,48,
18,1,41,40,41,
19,1,42,37,44,
20,1,42,36,45,
21,1,43,38,43,
22,1,43,35,46,
23,1,44,39,42,
24,1,44,34,47,
25,1,45,49,64,
26,1,45,56,57,
27,1,46,53,60,
28,1,46,52,61,
29,1,47,54,59,
30,1,47,51,62,
31,1,48,55,58,
32,1,48,50,63,
33,2,49,1,,1
34,2,49,,,
35,2,50,,,
36,2,50,,,
37,2,51,,,
38,2,51,,,
39,2,52,,,
40,2,52,,,
41,2,53,,,
42,2,53,,,
43,2,54,,,
44,2,54,,,
45,2,55,,,
46,2,55,,,
47,2,56,,,
48,2,56,,,
49,3,57,,,
50,3,57,,,
51,3,58,,,
52,3,58,,,
53,3,59,,,
54,3,59,,,
55,3,60,,,
56,3,60,,,
57,4,61,,,
58,4,61,,,
59,4,62,,,
60,4,62,,,
61,5,63,,,
62,5,63,,,
63,6,,,,1